Rating,Date,Review Text,Review Title,Is Helpful,Not Helpful
1,"Aug 12, 2021","I have been back and forth with them for 2 months now. I trusted your company and invested my valuable time. I clearly indicated that the 1040 I will be providing for 2020 will be showing low income due to COVID, BUT current bank statements show my business recovered and that I make way more than even what you are asking. And JUST because they ask me to do my taxes and gave me the green light on my bank statements (income) I did my taxes! On the phone they said earlier ALL looks good only thing needed left is 1040. And I just got an email after this LONG journey that they do not accept me because my 1040 shows low income?? AND WHEN I CALLED THEM THEIR EMPLOYEE JUST HUNG UP ON ME AT THE END OF THE CALL. This is not professional and all their employees do have an attitude problem. Even DMV has a better treatment. If they are not happy working for you they should just QUIT. From beginning to end the entire process was torturous. I will do my best to be sure no one around me works with them.",Horrible Experience,2,0
1,"Aug 04, 2021",I didn't like how they handled my case.,perhaps not,0,2
5,"Aug 03, 2021",Very quick and easy process. I applied on Monday evening and uploaded my documents on Tuesday. I had the money in my account by that Friday and the credit cards were paid off on Tuesday. The loan was through a credit union which gives me another good banking relationship.,"Yes, I would highly recommend!",1,0
1,"Jul 15, 2021",The application process wasn't too bad but they consistently report inaccurate payments to the credit bureaus. On hold for a while for customer service and trying to reach them through the chat makes me feel like im chatting with a robot based on responses to my questions.,Inaccurate credit reporting/Poor customer service,3,3
1,"Jul 08, 2021","The application process seemed easy but when verifying my income, I am self-employed, instead of them asking me any questions or asking for additional documentation they started calling/contacting every company I contract with to verify my income without giving me any warning. When I then tried to contact customer service, I received no response. I am glad I didn't go through with this loan and went with a different provider.",Poor Communication,8,0
4,"Jul 02, 2021",I am a fan of using my banks regular auto-wire-pay rather than the auto mail in. That is not possible here but I did set up auto mail in. I would never give open access to draw money from my account each month as was requested.. this is the only reason I did not give 5 stars. Easy process and the good rate for a personal loan is legitimate.,I would recommend.,5,0
2,"Jun 29, 2021","There's nothing simple about working with this company. The initial application, no big deal, but then they start emailing asking for this bill, or that bill. Send them whatever, it'll be wrong. Took days for the guy to finally say, sure, a driver's license is fine. Since then I received the deposit and paid off my cards. Now, I'm trying to pay PayOff, but they make it nearly impossible to pay them. Supposedly they now have me set up for automatic payments, but I'll believe it when I see it. It's just a completely incompetent business. I need a new loan to pay of this one now, just to save me future headaches.","Decent interest rate, terrible everything else.",10,1
1,"Jun 22, 2021","Very difficult application, I only applied for 5000$, but encountered a very difficult application, I do not recommend it","Very difficult application, I only applied for 500",15,1
5,"Jun 16, 2021","Application process was quick and easy and the money was in my account quickly. It’s been about 6 months since I got the loan and my credit score has increased dramatically, from 640’s to the 800’s. This loan was huge for me and the experience has been good all around",Great opportunity,13,0
5,"Jun 07, 2021","Amazing company, great rates, superb customer support. After finding myself deep in debt, no one gave me a chance except Payoff.","A+ Great Experience, Thank you!",4,0
1,"May 20, 2021",They take several business days between requests for information. They cannot read a simple paystub to see that it is recent. They don't care about customers at all.,No Customer Service,6,3
2,"May 18, 2021","I have had this loan for 6 months. Due to covid, I needed to delay a payment by 4 days. They said on the website they were being flexible and to chat in. Agent says he has moved my payment date 4 days out. Not only does my payment come out on the original date, but ANOTHER payment comes out. Has to chat in three times and email twice before finally getting reimbursed the double charge 10 days later. Their autoresponse says they will respond to emails in 24-48 hours. I wish.",Poor customer service.,7,1
5,"May 16, 2021","great service, easy interface.",THANK YOU!,1,1
5,"May 11, 2021",This transaction was very easily done. The persons handling my application was very professional and responsive to my needs. I would recommend to anyone that needs help in their finances.,Very prompt and responsive,3,0
5,"May 10, 2021",The entire process was easy and simple. Would recommend to family and friends due to the low interest rates. The funds were available in two days.,Happy Ever After,2,0
5,"May 08, 2021",I applied for a loan and found out right away that it was approved. Payoff sent documents electronically the next day. I had the money within 3 days. Everything went off smoothly and I highly recommend Payoff.,"Just a wonderful, easy, process.",1,0
5,"May 08, 2021","Approval was very quick, and the rate was unbelievably low compare to what my previous two years lender offered to me. Process was very smooth. I will check definitely recommend Payoff to anyone.",Excellent!! Extremely happy.,4,0
5,"May 04, 2021","I am 44 years old, had around a handful of consolidation loans throughout the years and I’ve never had one this good! I was approved for a 7% $30k loan and decided on the phone that I wanted to increase it to a $40k loan. No problem! She said no worries, just need to sign the e-docs sent to me at the same 7% rate! The money was in my account in two days and I’m saving about $1k per month in payments due to this. Lastly, I will be debt free in three years versus the 20+ years that credit cards had me in. Thank you to the Payoff team!",Take the plunge! You won’t regret it.,18,2
4,"May 04, 2021","I have been debating whether I wanted to consolidate my debt for some time. I had a conversation with a friend and she recommended payoff. I looked into it and it gave me a great interest rate! Going from all my credit cards to one loan payment was a stress relief, not to mention how quickly the balances were paid off. Only downfall is the response from the chat customer service. Once you’re connected, they don’t respond quickly at all. Maybe the first communication, but after that it’s pointless.","Fast, easy, reliable",5,0
1,"Apr 21, 2021","The 90% pre approval is not close to being correct, I had a new Affirm loan in the last 60days and was denied due to this. Just beware that the pre approval is not always correct.",90% Pre Approved on credit karma,15,1
1,"Apr 13, 2021","I have a work visa (with which I bought my half million dollar+ house) and a very high income. I was looking at a fairly low amount and low risk. The team kept calling and emailing me, and I spoke to them to let them know I had this work visa. They said ""no problem, you are pre-approved we just need the documents uploaded"". I uploaded the documents and then they told me they don't have a legal understanding in their process for my work visa! You just told me you did! I spent time uploading all my personal information - which they won't delete they said - and wasting so so much of my time. Their legal team has no idea about non-US citizens and no way to judge risk. They have no knowledge of the law, which to me means it cascades down onto all their legal understandings and terms. I would be wary here. I withdrew my application since I was so exhausted with dealing with them and trying to re-explain a legal term no one could figure out there... I would NOT recommend them at all.",Lack of Knowledge,9,1
3,"Apr 12, 2021","Very easy to get the loan. Issues since Day 1. Extra payments made but they said they did not receive. Always a computer issue. Last month they double dipped on my automatic payment. I called them and I let the double payment stand as they assured my it would never happen again. Well, it happened this month again. Have spoken to numerous people who assure me it won't happen again. In the process of having the double payment reversed. It's amazing how quickly they can take the money but how slowly they give it back. That God I have some savings I could transfer to cover what could have been large fees for overdrafts. I'm sure not everyone can do that.",I have had issues since Day 1,5,1
5,"Apr 03, 2021",The entire process was easy and simple. Would recommend for anyone trying to save money in high interest rate credit cards.,,3,0
1,"Apr 02, 2021","I've held a great stable job for the past few years after finishing professional school, finally felt financially stable and I'm really wanting to correct my credit card debts mistakes. I heard of payoff and they seemed to be a great option to help with my situation the way they advertised. After them sending me ""preapproved"" letters for months, I applied with credit over 640 (their requirement) with excellent/on-time/never-late payment history and chose the option to pay the most every month because I knew I could pay that or even more back each month. Disappointingly, they didn't approve my application basically because they needed to see at least 3-4x the amount of money in my bank account. School did cost a lot and there are other necessities stuff that I have to pay as well so I mean if I had 3-4x the amount they asked for at this moment, there wouldn't be a point to applying to Payoff in the first place. So I thought this was a little ridiculous and false advertising of them to say they want to help you. You'll only get their help if you already have more than enough to pay your credit card debts off all at once in your bank account, which kinds of negate the point of having the company in the first place in my opinion. All the customer service advocates were very nice on the phone, that's basically the only good thing about this company.",They don't help you,11,2
1,"Mar 22, 2021",Typuc scam when they promise great rates and sizable loan and in the end misread your situation and deny without reason,Not worth it,2,1
