Rating,Date,Review Text,Review Title,Is Helpful,Not Helpful
1,"Aug 27, 2021",Small personal loan. Have never had a loan in my life(I’m 60) where the company took interest payments out of an additional principal payment above and beyond the normal payment. Very disappointing. Last time I’ll use SoFi.,Bad loan policies.,0,0
1,"Aug 27, 2021",Process is horrible. Do not waste your time. Customer service is awful.,Thumbs down,0,0
5,"Aug 12, 2021","Refinanced home mortgage, process was done all online. They dropped the ball with scheduling the appraisal but worked with me and gave me a credit. I enjoyed it overall, very easy.",Good rate for home refinance,1,0
5,"Aug 03, 2021",Sofi made it so easy to pay off my $60k credit card debt. The process was simple. Received a great rate! Proof of income and good credit score is required through Experian. Applied and approved in one day. Funded next day.,Excellent Lender,5,1
1,"Jul 29, 2021",Waste of time I think they are using data and personal information. Scams,Scams be safe,7,2
2,"Jul 27, 2021",Had a loan with them. They do not give the best rates. I had a hard time dealing with sales reps. They put a hard inquiry on my credit twice and would not remove one.,Easy to apply. HORRIBLE service.,8,0
1,"Jul 17, 2021",Waste of time.. after doing all the stuff.. better look for other lenders.. I got with other lender with way better rate and easy process..,Waste of time and energy,11,0
1,"Jul 16, 2021","Used them for 2 personal loans in the past with no issues. So figured when I wanted to re-finance my house give them a shot. What a mistake, should have used a local company. They hired an appraiser from an hour away. The dude was at my house for 10 minutes. Was rude on the phone. My house is $421,000 on zillow. I had it appraised 3 years ago for $330,000 and put $60,000 in upgrades. The market is RED HOT. Houses like mine selling for $450,000+ 4/3/3 pool/jacuzzi The appraiser lists my house for $357,000. That's $64,000 under zillow. A house sold next door 3 weeks ago with less square feet, a 2 car garage (I have a 3) NO POOL or JACUZZI for the SAME price $357,000? Everyone I spoke with laughed at the appraisal. Some are relators. So my house is worth the same as this house with half the stuff. The support was a joke, like nothing we can do. I had to submit the new comps. I paid $500 for the appraisal its not my job to do the work. Going to use a local company from now on, learn from my mistake RUN RUN RUN!",TOTAL WASTE of TIME!,15,1
1,"Jul 15, 2021",One star is generous. Wasted a lot of time trying to refi Parent Plus loans at 8.25%.,Owner/Admin,6,1
1,"Jul 15, 2021",Pre approved then denied. A waste of time and a hard inquiry on me report all for nothing. Thanks a lot credit karma.,Pre approved then denied. A waste of time.,12,0
5,"Jul 09, 2021",Awesome,Simple easy to use,1,3
1,"Jun 30, 2021","I had excellent approval odds so I applied. After a few days of sending document after document then I got an email saying I was denied because they couldn't verify my address, when I had just talked to them on the phone and they said all of my documents were good.",Horrible,11,4
1,"Jun 28, 2021","SOFI has to take the honor of one of the worst companies that I have dealt with. If there was a way to give them zero stars, i would gladly do it. All the way from refinancing to dealing with customer service been a nightmare. I had to submit my loan docs multiple times and my request for setting bi-monthly payments was never honored. So I pick up the phone to call customer service and they tell me they will help me to setup “Budget draft”, which is same as bi-monthly payments. I been calling for the past 3months, filled up “Budget Draft” form 3times and talked with about 4-5reps. Every time I call, I am being told a different story as to why it cannot be setup and provided with different directions. Don’t know whom to believe any longer. These folks are so unorganized and lack training. Please go with someone else if you want to maintain your sanity.",SOFI - Unorganized & Full of Redtape,11,6
5,"Jun 23, 2021","Quick Approval! I applied 7p (CST) and woke up to an approval at 8a. The next morning. The rate was nice and with direct payment to my credit cards they lowered the rate by .25%. Also, setting up automatic payments lowered my rate as well. There was no initiation fee so I received 100% what I requested. The only negative is, I paid closed attention when filling out the application and did not notice a field to put my bank account information in (to receive funds). I assumed it would come up in the next step. However the approval came with them setting me up a MONEY account to receive the funds. With the assumption that I’d use it as my main account and have the payments deducted from that account. I caught it in the documents and changed it right away to my bank and that caused a couple hours delay. But that’s fine. I was told the funding would be done in 2-3 business days so we shall see.",Fast/Quick turn around.,4,1
5,"Jun 16, 2021",Quick and easy application.,Good rate and easy to use.,2,1
1,"May 30, 2021",The worst experience ever,The worst experience ever,10,6
1,"May 25, 2021",Claiming to have an answer for you right away giving I have perfect excellent score. Apply via CreditKrama the company ran hard inquiry and I got notification from Experian about it as I was filling a preapproved application . I called right away to reach the highest level of management and they denied that they ran hard inquiry and it is showing on credit karma and Experian.,Pre-approved yet ran hard inquiry,34,2
1,"May 24, 2021","Credit Karma stated that I had a 90% chance of approval. I filled out the application because I needed work done on my house, sent all the requirements needed, and mind you, it took them quite some time to respond with emails. Come back after a week later to get denied. I was literally shocked getting denied with a 700+ credit score and almost a 6 figure income.",Waste of time!!!,90,19
1,"May 19, 2021","applied for the loan, cause there was a 90% chance of approval, thought I would refi a personal loan to a lower rate. filled out the application and provided information. only to get denied because they could not verifiy my Identity, no emails or messages letting me know what they needed. they apparently attempted a call, but left not messages. and now they will give me a chance for a loan with a higher interest rate than I originally applied for. don't waste your time",not a very trustworthy company,30,1
5,"May 15, 2021","Applied on May 3rd and had the money in my account by May 6th. I needed to consolidate my cards of 62k. Credit score was about 683, but had dropped from 760 because of high cc debt. Rate was the of all companies I checked. The process was unbelievable easy. They asked for statements of explanation of income so I did that plus sent most recent month paystub. They then asked for past two years w2 that submitted right away. I got an email later that evening that it was approved and the next morning it was funded and in my account.",Excellent experience in applying,9,2
5,"May 13, 2021","This is the second time I've used Sofi. My debt to income ratio was 30% with no negative marks on my credit report and 200K+ income. In 2018, I received a consolidated personal loan for $66000 and received funds in 2 days. I paid it off in 2.5 years. I just received another loan for $99000 to payoff high interest cc (11% to 17.99%) and a pool loan. I got a rate around 9% for 4 years, but was offered rates as low as 5.99% for 2 - 3 years. My credit score shot up from 700 to avg 810 among the 3 credit reporting agencies. It also took 2 business days to receive funds. I figure I'll probably pay off the loan early again. The whole online process was easy...no phone calls and no stress.",Easy financing,14,4
1,"Apr 06, 2021","Even if you're in a death bed think twice before getting a loan from SoFi. Not worth the loan amount, the process and not to mention hefty way they calculate the interest they charge you.",Unless you???re in desperate dire straits,27,2
1,"Mar 23, 2021","I am not happy at all !!! At first everything was going fine , I gave them what they needed to get approved . Then after I gave them my banking information , I mean my routing number bank account number and all that good stuff all of a sudden they needed more information. I've had the same job over ten years and have never in 45 years missed any payments on anything ! At the end I was so mad wanting to speak with a manager and just was hung up on! These people are not legitimate!",,29,0
