Noun Chunk,count
the process,29
a loan,17
the loan,9
the application process,8
this loan,7
customer service,7
the money,6
my credit score,5
this company,5
my debt,5
my loan,4
my account,4
this process,4
the amount,4
credit karma,4
my credit,4
the rates,4
an opportunity,4
the loan process,4
this opportunity,3
my credit cards,3
my money,3
application process,3
my monthly payments,3
excellent service,3
no hassle,3
your loan,3
other lenders,3
credit cards,3
a lot,3
easy application process,3
great way,3
your credit,3
great experience,3
easy process,2
full transparency,2
the people,2
the same day,2
great customer service,2
a timely manner,2
good people,2
the application,2
a bind,2
their interest rate,2
a easy process,2
my application,2
very simple process,2
the whole process,2
no difficulty,2
the interest rate,2
my shoulders,2
this lender,2
these guys,2
a second chance,2
the help,2
the customer service,2
great process,2
that amount,2
my life,2
such an easy process,2
my approval,2
excellent customer service,2
the lady,2
some questions,2
an approval,2
the right direction,2
a competent and efficacious execution,2
a professional and cordial aspect,2
my second loan,2
new comers,2
the representative,2
a quick and easy process,2
ugly reviews,2
the lender,2
financial freedom,2
auto draft,1
overall credit performance,1
an ideal credit score,1
the quickest and easiest loan application,1
a little mess,1
good job,1
repeat customer,1
fast and easy way,1
a hard inquiry,1
credit karma's suggestions,1
soft inquiry,1
no customer service,1
a wall,1
an hour,1
the simplest loan process,1
my over 60years,1
and not a lot,1
extra questions,1
the verification instructions,1
very pleasant representative,1
any hassles,1
a long drawn out process,1
24 hrs,1
no prepayment penalty,1
a bonus,1
