Noun Chunk,count
the process,54
the loan,34
this company,25
this loan,23
the money,20
a loan,20
my account,19
the application process,18
the funds,18
my loan,18
my credit cards,16
credit karma,13
a personal loan,11
my credit score,11
an email,10
customer service,10
my application,10
a lot,10
the application,10
the time,10
the customer service,10
the phone,9
the entire process,9
a payment,8
my bank account,8
the amount,8
the whole process,8
a week,8
the way,8
my credit,8
my income,7
the rate,7
credit cards,7
the company,7
the loan process,7
your time,7
3 days,6
the payoff team,6
the team,6
about a week,6
a few days,6
a great rate,6
one monthly payment,6
a voided check,6
my identity,6
the end,5
no one,5
easy process,5
the website,5
all my credit cards,5
the documents,5
credit card debt,5
their system,5
great customer service,5
my bank,5
my information,5
every step,5
the apr,5
the people,5
my score,5
my documents,4
any questions,4
the only reason,4
my cards,4
great rates,4
4 days,4
my debt,4
the point,4
easy application,4
your credit,4
my rate,4
these guys,4
additional information,4
this process,4
2 days,4
my credit card debt,4
the interest rate,4
the information,4
the monthly payment,4
the service,4
the mail,4
my questions,3
no response,3
application process,3
my payment,3
my needs,3
all my personal information,3
extra payments,3
10 days,3
id,3
a ton,3
my monthly payment,3
a representative,3
my experience,3
interest rate,3
a call,3
your account,3
a lower interest rate,3
the approval process,3
my interest rate,3
